timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
12,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
34,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,20,5,10,-9,-2,14,10,-2,-3,3,1,59,10,2,-3,0,4,193,6,-1,-2,1,0,260,4,0,2,-1,-2
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,20,-1,6,-4,1,14,12,2,3,-2,2,171,11,2,3,1,1,59,10,-2,1,-3,-2,283,7,2,-1,-2,1
84,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,19,-3,-2,2,0,14,13,3,1,-2,-4,59,11,0,2,3,1,171,11,-1,-1,2,-1,283,9,1,-2,-1,0
109,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,19,-3,-4,5,-2,14,14,-4,1,0,1,529,11,1,-3,1,-4,193,10,1,-2,-2,-1,283,10,1,2,1,-2
134,5,4,730,-42,19,18,-58,12,184,-15,9,278,57,8,2147483647,2147483647,4294967295,730,21,-1,-8,4,0,37,15,4,-1,0,3,529,12,1,2,3,5,193,11,-1,2,-1,-1,283,11,-2,-1,0,2
159,6,4,730,-40,20,21,-55,13,185,-53,10,279,46,8,2147483647,2147483647,4294967295,730,22,-1,-9,8,0,37,14,-1,1,-1,0,193,11,1,-2,-1,1,283,11,1,2,1,2,529,11,-1,1,-5,-1
184,7,4,730,-40,20,23,-52,13,190,32,10,279,45,9,2147483647,2147483647,4294967295,730,22,1,-6,5,3,37,13,-1,1,-2,-2,216,11,-1,1,1,2,283,11,1,-1,-2,-1,529,11,1,-1,3,-1
209,8,4,730,-40,20,25,-50,13,184,-66,10,268,41,9,2147483647,2147483647,4294967295,730,22,6,-5,3,6,37,13,1,-2,1,1,149,12,-3,2,0,-1,193,12,-1,-3,-1,0,283,10,1,1,0,-1
234,9,4,727,-40,20,26,-58,13,180,-66,10,260,40,9,2147483647,2147483647,4294967295,708,22,4,-7,3,3,37,13,1,2,3,-2,149,12,2,-1,-2,0,193,12,1,2,1,-1,238,12,-2,2,0,1
258,10,5,725,-40,20,27,-48,13,179,57,10,262,38,9,522,-6,11,708,22,4,-3,2,4,37,13,1,2,-3,3,171,12,-1,-3,-1,0,283,11,1,1,2,-1,484,10,-1,2,-3,0
283,11,5,723,-37,21,30,-41,13,173,25,11,253,33,10,517,-6,10,708,21,3,-3,1,3,37,15,-4,-3,1,-1,126,14,4,1,1,1,171,13,0,3,-1,0,283,11,2,0,1,-1
309,12,5,723,-37,21,32,-46,13,168,61,11,244,31,11,514,-6,10,730,21,3,2,1,2,37,15,1,2,0,1,126,13,-1,0,-1,0,193,12,1,0,2,0,238,11,1,1,0,1
334,13,5,721,-36,21,34,-32,13,164,47,11,235,29,11,511,-6,10,708,20,4,0,1,3,37,14,2,-1,-1,-1,126,13,-2,1,1,0,81,13,2,2,0,-1,193,12,2,1,-2,-1
358,14,5,721,-36,21,37,-36,14,157,47,12,226,24,11,506,-12,10,730,19,-1,3,-4,-2,37,15,-4,1,1,2,126,13,1,-2,-2,-1,193,12,-1,-1,2,-1,484,10,-2,-1,-1,1
383,15,5,721,-36,21,37,5,14,150,28,12,217,10,11,502,-15,10,730,19,0,1,2,0,37,15,1,-1,0,-7,126,12,0,1,2,5,193,11,-1,1,-2,2,484,10,1,1,2,2
408,16,5,719,-36,20,37,-7,14,144,21,12,208,10,11,486,-15,10,708,18,-1,1,-5,-1,37,14,1,-1,2,3,126,12,-1,1,-1,-2,193,11,1,-2,1,-2,372,11,3,1,1,2
433,17,5,716,-33,20,37,7,14,137,0,12,199,5,11,470,-14,10,708,18,3,3,1,3,37,13,-1,1,-1,2,149,11,0,-2,2,0,193,11,1,-1,-1,1,372,11,1,-1,1,-1
457,18,5,714,-31,19,37,8,13,137,15,12,199,-4,11,454,-14,10,708,19,3,5,-2,1,752,18,-5,3,0,-2,37,12,0,1,-2,0,149,12,1,2,-1,-1,193,11,-2,1,0,-1
483,19,5,716,-29,19,37,-4,13,137,2,12,208,-3,11,437,-14,10,730,18,-3,3,-3,-3,37,12,1,1,2,1,149,11,-1,0,-2,1,283,11,0,2,1,3,350,11,-1,-1,-1,-1
508,20,5,719,-28,19,37,0,13,137,-5,12,204,0,11,416,-10,10,730,17,-2,-1,1,-1,37,12,1,-2,2,2,238,11,-2,1,-2,4,171,11,2,-1,6,-1,283,10,-1,-1,-4,-1
533,21,5,723,-28,18,37,-11,13,141,0,11,211,0,11,396,-10,10,752,18,5,-3,2,5,708,18,-3,-4,4,-1,37,13,-3,2,-3,-3,171,10,-1,1,-1,5,551,10,-1,2,-2,0
558,22,5,721,-33,18,37,-11,13,141,-3,11,213,5,11,376,-10,10,708,18,2,-5,2,4,752,18,5,1,-3,3,37,13,1,0,3,2,126,10,-1,2,-4,2,216,10,2,-1,2,-2
582,23,5,721,-34,18,37,-6,13,222,6,11,150,0,11,356,-10,10,708,19,6,-3,1,3,37,13,0,-3,-2,-1,216,12,-3,-1,-2,1,283,12,3,-1,1,-1,126,11,1,2,2,1
607,24,5,719,-32,18,37,-14,13,166,-1,11,224,8,11,336,-10,10,708,20,5,3,-1,6,37,13,1,1,-1,1,283,13,-3,0,-2,1,216,12,2,1,3,-1,126,11,-1,-2,-1,-2
633,25,5,716,-33,18,37,-20,12,182,-3,11,226,9,11,316,-10,10,708,20,4,3,-3,1,752,20,-4,4,-1,-1,283,13,1,2,-1,0,37,12,1,0,1,-3,216,12,1,-1,-1,1
658,26,5,716,-35,18,37,-19,12,198,-3,11,229,10,11,307,-10,10,708,19,1,3,-4,-1,752,19,-2,2,1,-5,283,13,1,-2,2,-1,37,12,0,2,-2,0,216,12,-2,-1,0,0
683,27,5,716,-36,18,211,-1,11,37,-22,12,231,9,11,298,-10,10,708,18,1,0,-1,0,752,18,-1,1,-1,-1,37,12,1,1,-1,2,283,12,0,0,1,1,216,11,1,1,-1,1
707,28,5,721,-37,18,227,-1,11,39,-24,12,224,11,11,283,9,10,752,17,1,1,-1,1,305,12,-2,-1,-3,-3,59,11,1,-1,-1,2,126,11,2,1,-1,-1,216,11,1,0,3,0
732,29,5,723,-37,18,233,-3,11,227,11,11,41,-24,12,269,9,10,752,16,0,0,0,1,216,11,-2,0,-1,-2,305,11,1,1,-1,1,59,11,1,1,3,-1,126,10,0,-1,0,2
757,30,5,723,-38,18,238,-2,11,233,10,11,43,-15,12,262,9,10,730,16,2,1,-1,-1,59,12,-2,-2,-1,-1,216,11,2,1,1,0,305,11,-2,-1,2,1,529,11,-2,-2,-1,-4
783,31,5,721,-38,17,242,-3,11,240,10,11,45,6,12,256,9,10,730,15,0,2,1,1,618,12,-2,-2,-1,-2,59,12,2,0,-1,-1,216,11,-1,-1,-2,1,529,11,1,2,1,3
807,32,5,723,-33,17,247,0,11,249,10,11,48,19,12,249,9,10,730,15,-3,0,-1,-2,59,13,-2,2,1,1,372,12,-3,1,-1,-2,104,11,-2,-2,-1,1,171,11,1,-2,1,-1
832,33,5,725,-33,17,247,-1,11,258,9,11,48,15,12,231,10,10,730,14,-1,0,1,1,37,14,3,-3,-1,1,104,12,1,3,1,-2,216,11,-1,-2,-1,2,372,11,1,1,1,1
857,34,5,727,-43,16,240,-5,11,273,9,11,48,12,12,211,9,11,37,14,-2,2,-1,1,730,14,-1,1,-2,-3,81,13,-3,-1,-1,0,216,12,2,2,-2,-3,171,12,2,-2,-2,2
882,35,5,732,-36,15,229,-3,11,48,3,12,289,9,11,191,6,11,37,14,2,-1,2,-1,752,14,-3,0,-1,-1,81,13,2,1,1,2,797,13,-1,-3,-1,1,171,12,-1,2,1,-3
907,36,5,734,-30,15,48,4,12,209,-3,11,305,9,11,184,5,11,37,14,1,2,-2,0,730,13,0,2,1,-1,81,13,-2,1,-1,-1,216,12,0,-2,-1,-2,171,12,-1,-1,-2,-1
932,37,5,736,-19,14,48,9,12,202,-1,11,320,9,11,754,-25,16,730,13,-2,-1,-2,1,37,13,-1,-1,-1,-1,685,13,0,3,0,2,216,12,2,1,2,0,171,11,0,-1,1,0
957,38,5,734,-24,14,43,8,13,345,9,11,193,-1,11,157,4,11,14,13,1,2,0,0,59,13,-2,1,-1,1,730,13,-1,0,2,-1,685,12,0,0,-1,-1,775,12,-1,-1,1,1
982,39,5,732,-21,13,39,-4,13,193,3,11,351,9,11,740,-9,15,14,12,-1,-1,2,-3,730,12,2,0,1,1,59,12,1,-1,4,2,685,12,1,-2,2,-2,216,12,-2,0,1,-3
1007,40,5,727,-15,13,41,-37,13,186,-27,12,738,-4,14,358,9,11,81,14,-2,4,-2,-4,149,14,-2,-4,4,-1,14,12,2,1,-1,4,685,11,0,1,0,1,730,11,0,0,-1,0
1032,41,5,723,-19,13,43,-28,13,180,-28,12,358,3,11,101,-10,12,81,14,2,-2,2,-1,149,13,1,1,-1,2,14,12,-2,0,-2,-1,305,11,-1,-2,0,2,685,11,-1,-1,-1,2
1056,42,5,721,-19,12,45,-29,13,177,-32,12,81,-9,12,358,3,11,81,13,-1,-1,1,1,149,12,0,1,-1,-1,14,12,1,-1,-1,-2,216,11,-2,0,1,1,708,11,1,-2,3,0
