timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
18,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
34,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,11,0,-4,-1,-3,752,6,-2,1,0,-1,171,3,-1,-1,-2,-1,216,3,1,1,-1,0,260,3,-1,1,-1,-1
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,14,-2,4,3,1,104,12,-4,-1,-1,0,193,6,2,-1,-1,-2,752,6,1,-1,-1,2,909,6,-2,1,-1,-1
85,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,14,3,1,0,1,104,11,-1,0,-1,-2,909,8,2,-1,2,1,439,7,2,1,2,-1,484,7,-1,2,0,3
109,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,13,-1,0,-5,-1,104,12,2,2,2,-1,149,11,-2,2,-1,0,193,10,-2,-2,1,1,551,9,0,2,1,-1
135,5,2,37,16,13,117,3,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,13,-1,0,1,2,104,12,-1,1,-3,-1,149,10,-1,0,0,-2,193,10,1,-1,2,-3,439,9,-2,-1,-2,-2
159,6,3,37,20,13,118,-40,10,182,-29,7,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,13,3,1,0,-2,126,12,1,-3,1,5,193,11,0,3,-4,0,439,9,1,1,-1,4,484,9,-1,1,-4,0
183,7,4,37,20,13,119,-44,10,461,0,8,183,-29,8,2147483647,2147483647,4294967295,126,14,2,-4,2,3,37,14,-2,2,-1,-4,395,10,-2,-1,-2,0,484,9,1,1,1,-1,752,9,2,1,1,2
210,8,4,37,19,13,123,-54,11,450,0,9,193,-19,8,2147483647,2147483647,4294967295,149,15,3,2,-1,-2,37,13,-1,2,-1,-1,260,11,-2,-3,-2,-2,395,11,2,2,-1,-1,775,11,-1,-3,2,-1
234,9,5,37,13,13,128,-53,11,442,0,9,200,-19,8,757,-44,7,171,15,1,-4,1,1,37,13,1,0,3,2,395,10,-1,0,1,0,775,10,-1,1,-1,1,708,10,2,-1,-2,2
259,10,5,128,-52,12,37,13,13,431,-3,9,197,-19,9,758,-44,7,126,18,2,7,-2,-1,171,18,-6,3,-1,-2,350,10,-2,1,-1,-1,395,10,-1,-1,2,0,954,10,-1,-2,0,-3
283,11,5,124,-51,13,37,13,13,414,-3,9,193,-23,11,761,-44,8,126,18,-2,-5,2,0,171,18,5,-1,0,3,283,13,-1,-1,-1,-2,976,10,1,2,-1,1,350,10,0,1,2,1
309,12,5,126,-54,14,412,-2,9,191,-31,12,37,13,13,765,-31,8,126,18,3,3,-2,-1,171,18,-4,2,2,-4,976,11,-1,-2,0,-1,797,10,-2,0,-1,-1,395,10,1,1,2,1
334,13,5,126,-52,15,403,-3,10,188,-33,13,37,13,13,770,-26,8,104,18,-2,0,-1,-4,171,18,2,-2,1,4,976,10,0,1,0,-2,797,10,1,1,-1,2,395,9,0,-1,-3,1
359,14,5,126,-47,15,392,-5,10,191,-34,14,37,13,13,940,-18,9,104,17,3,-1,2,4,171,17,-1,1,-1,-1,976,10,1,0,0,4,439,9,-1,-1,4,3,506,9,1,-1,-4,0
383,15,5,130,-46,16,186,-33,15,376,-5,10,37,13,13,947,-18,9,149,17,-2,3,-2,1,104,17,1,2,-1,1,283,12,2,2,1,2,372,10,0,-2,-1,1,439,9,1,1,-2,-2
408,16,5,133,-44,16,177,-35,15,361,-4,10,37,13,13,783,-26,10,149,16,-1,-2,2,1,104,16,-1,1,2,-1,283,12,-2,-1,-1,-3,327,11,2,-1,3,-1,372,10,1,1,2,3
433,17,5,137,-40,16,168,-35,16,350,-7,10,37,13,13,378,18,9,171,16,2,-2,3,0,283,11,0,0,0,-1,327,10,1,1,-1,1,372,10,-1,1,-1,-2,484,9,-1,-1,-2,2
459,18,5,141,-35,16,155,-37,16,350,-12,10,37,13,13,358,11,10,193,16,-1,-4,2,-2,126,16,-3,3,-1,2,395,11,3,0,0,2,283,11,1,1,-2,1,484,9,-1,1,1,0
484,19,5,144,-35,17,141,-42,16,341,-21,10,41,-12,13,347,-12,10,193,16,1,2,-4,-1,126,15,0,-1,1,1,81,14,2,1,0,1,305,12,2,-2,2,4,372,11,-1,2,-3,-1
508,20,5,150,-32,16,137,-46,16,336,-23,11,45,-13,13,345,-5,10,193,15,0,-1,5,1,126,14,1,1,0,-1,81,14,-1,0,1,-1,305,11,-1,1,-3,-3,372,10,-1,0,2,1
533,21,5,157,-32,16,132,-51,16,338,-26,10,347,-15,10,50,-13,13,193,14,0,-1,1,4,126,14,-1,0,2,-4,305,10,0,1,2,-2,372,10,1,-1,1,1,618,10,-1,-1,-2,-1
558,22,5,164,-30,15,128,-35,15,327,-30,10,349,-17,10,52,-7,13,193,14,-1,2,2,-1,126,13,-1,-2,-3,-1,59,13,0,3,2,3,283,12,2,-2,-1,0,372,10,-1,1,1,1
584,23,5,173,-30,15,126,39,15,316,-27,11,351,-17,10,54,-6,13,193,13,2,1,3,-4,149,13,2,-1,-4,-1,59,12,0,0,-1,-2,283,11,-1,0,-2,4,618,10,-2,-1,-1,-1
608,24,5,182,-37,15,117,58,14,300,-30,11,354,-17,10,65,-12,13,193,13,0,-2,-2,3,81,13,-3,1,0,-2,149,13,-1,-2,3,2,283,10,0,1,3,-3,618,10,1,1,-1,3
633,25,5,188,-48,14,108,37,14,300,-30,11,354,-17,10,68,-4,13,14,14,-3,-3,-1,0,59,14,2,-3,0,-2,216,13,-2,2,-1,-4,149,12,0,1,-1,3,596,10,-2,1,-1,-1
658,26,5,181,-50,14,101,52,14,294,-52,11,358,-17,10,79,-10,13,37,15,2,-4,-2,2,81,14,2,2,-2,-1,216,12,1,0,1,2,149,12,-2,1,1,-2,596,11,2,-1,0,1
683,27,5,186,-61,14,94,30,14,287,-52,11,365,-32,10,90,-14,13,37,16,-1,4,-1,2,216,12,1,-2,0,2,149,12,-1,-1,1,-2,596,11,-2,1,1,-1,395,11,-2,1,-1,0
708,28,5,186,-71,13,85,37,14,282,2147483647,11,376,35,10,101,-14,13,37,15,2,-1,3,-1,193,12,1,2,-4,-1,596,12,1,-2,-1,-2,350,11,-2,-2,-3,2,395,11,2,-1,-2,-2
732,29,5,184,-69,13,77,37,14,276,50,11,378,35,10,540,22,10,37,15,-1,-1,1,0,171,13,-2,3,-1,-3,126,12,2,2,-2,0,238,12,-3,-1,3,3,596,12,-1,2,-1,3
758,30,5,188,-77,13,68,25,14,262,74,11,385,36,10,540,13,10,238,15,4,3,-5,-2,37,15,-2,-2,-3,1,171,14,1,-4,3,4,439,12,2,-2,-2,-1,484,12,3,2,1,0
781,31,5,188,-77,13,59,32,14,256,78,12,551,17,10,392,36,10,193,16,-3,4,2,-3,238,16,-3,-3,3,3,37,15,-3,1,3,3,596,12,-2,0,1,1,439,12,-1,1,2,1
806,32,5,188,2147483647,13,50,45,14,251,69,12,562,19,10,399,36,10,193,16,1,-3,-2,-2,238,15,2,1,1,-2,37,14,1,2,-3,-1,81,13,-1,1,1,-3,596,11,1,0,-2,-1
832,33,5,188,-63,13,45,-57,14,247,69,12,573,19,11,405,36,11,193,15,1,1,-1,5,104,15,-4,-2,2,-3,238,15,1,1,-5,-1,14,14,2,1,-3,-2,59,14,-2,3,-1,-3
857,34,5,188,-59,14,48,-57,14,242,69,13,584,19,11,412,36,11,193,15,1,3,-1,-4,238,15,-3,0,4,0,104,14,1,-1,0,3,14,13,-1,-1,2,2,59,13,1,-1,0,2
